Stadium,Latitude,Longitude
Adelaide Oval,-34.915,138.596
Barossa Park,-34.598,138.886
Bellerive Oval,-42.878,147.377
Carrara,-28.006,153.366
Docklands,-37.816,144.947
Eureka Stadium,-37.536,143.844
Gabba,-27.485,153.038
Hands Oval,-33.346,115.642
Kardinia Park,-38.158,144.354
M.C.G.,-37.819,144.983
Manuka Oval,-35.318,149.134
Marrara Oval,-23.71,133.88
Norwood Oval,-34.92,138.63
Perth Stadium,-31.951,115.889
S.C.G.,-33.891,151.224
Sydney Showground,-33.843,151.068
Traegar Park,-12.398,130.891
York Park,-41.425,147.139
