"Round","Home","Away","Venue"
"Round 1","Richmond","Carlton","MCG"
"Round 1","Western Bulldogs","Collingwood","Marvel Stadium"
"Round 1","Essendon","Walyalup","Marvel Stadium"
"Round 1","Kuwarna","Sydney Swans","Adelaide Oval"
"Round 1","GWS GIANTS","Geelong Cats","ENGIE Stadium"
"Round 1","Gold Coast SUNS","Yartapuulti","People First Stadium"
"Round 1","North Melbourne","Euro-Yroke","Marvel Stadium"
"Round 1","Hawthorn","Brisbane Lions","MCG"
"Round 1","Waalitj Marawar","Narrm","Optus Stadium"
"Round 2","Collingwood","Richmond","MCG"
"Round 2","Geelong Cats","Hawthorn","GMHBA Stadium"
"Round 2","Brisbane Lions","Walyalup","Gabba"
"Round 2","Carlton","Narrm","Marvel Stadium"
"Round 2","Yartapuulti","Kuwarna","Adelaide Oval"
"Round 2","Gold Coast SUNS","Waalitj Marawar","People First Stadium"
"Round 2","GWS GIANTS","North Melbourne","ENGIE Stadium"
"Round 2","Sydney Swans","Essendon","SCG"
"Round 2","Euro-Yroke","Western Bulldogs","Marvel Stadium"
"Round 3","Richmond","Hawthorn","MCG"
"Round 3","Western Bulldogs","GWS GIANTS","Marvel Stadium"
"Round 3","North Melbourne","Sydney Swans","Marvel Stadium"
"Round 3","Collingwood","Euro-Yroke","MCG"
"Round 3","Geelong Cats","Carlton","GMHBA Stadium"
"Round 3","Brisbane Lions","Waalitj Marawar","Gabba"
"Round 3","Gold Coast SUNS","Kuwarna","People First Stadium"
"Round 3","Walyalup","Yartapuulti","People First Stadium"
"Round 4","Sydney Swans","Western Bulldogs","SCG"
"Round 4","GWS GIANTS","Collingwood","ENGIE Stadium"
"Round 4","Yartapuulti","Waalitj Marawar","People First Stadium"
"Round 4","Euro-Yroke","Richmond","Marvel Stadium"
"Round 4","Essendon","Carlton","MCG"
"Round 4","Gold Coast SUNS","Walyalup","People First Stadium"
"Round 4","Brisbane Lions","Kuwarna","Gabba"
"Round 4","Narrm","Geelong Cats","MCG"
"Round 4","Hawthorn","North Melbourne","Marvel Stadium"
"Round 5","Carlton","Euro-Yroke","Marvel Stadium"
"Round 5","Collingwood","Essendon","MCG"
"Round 5","Waalitj Marawar","Sydney Swans","People First Stadium"
"Round 5","Geelong Cats","Gold Coast SUNS","GMHBA Stadium"
"Round 5","Western Bulldogs","North Melbourne","Marvel Stadium"
"Round 5","Brisbane Lions","Yartapuulti","Gabba"
"Round 5","Kuwarna","Walyalup","People First Stadium"
"Round 5","Narrm","Richmond","MCG"
"Round 5","GWS GIANTS","Hawthorn","ENGIE Stadium"
"Round 6","Geelong Cats","Brisbane Lions","SCG"
"Round 6","Collingwood","Hawthorn","ENGIE Stadium"
"Round 6","Walyalup","Euro-Yroke","People First Stadium"
"Round 6","Waalitj Marawar","Kuwarna","Gabba"
"Round 6","Narrm","Gold Coast SUNS","ENGIE Stadium"
"Round 6","Essendon","North Melbourne","People First Stadium"
"Round 6","Yartapuulti","GWS GIANTS","People First Stadium"
"Round 6","Richmond","Sydney Swans","Gabba"
"Round 6","Carlton","Western Bulldogs","People First Stadium"
"Round 7","Geelong Cats","Collingwood","Optus Stadium"
"Round 7","Essendon","Western Bulldogs","People First Stadium"
"Round 7","GWS GIANTS","Brisbane Lions","ENGIE Stadium"
"Round 7","Sydney Swans","Gold Coast SUNS","SCG"
"Round 7","Richmond","North Melbourne","People First Stadium"
"Round 7","Carlton","Yartapuulti","Gabba"
"Round 7","Hawthorn","Narrm","ENGIE Stadium"
"Round 7","Walyalup","Waalitj Marawar","Optus Stadium"
"Round 7","Kuwarna","Euro-Yroke","Adelaide Oval"
"Round 8","Gold Coast SUNS","Western Bulldogs","People First Stadium"
"Round 8","GWS GIANTS","Richmond","ENGIE Stadium"
"Round 8","North Melbourne","Carlton","Gabba"
"Round 8","Sydney Swans","Hawthorn","SCG"
"Round 8","Yartapuulti","Euro-Yroke","Adelaide Oval"
"Round 8","Kuwarna","Essendon","Adelaide Oval"
"Round 8","Waalitj Marawar","Collingwood","Optus Stadium"
"Round 8","Narrm","Brisbane Lions","People First Stadium"
"Round 8","Walyalup","Geelong Cats","Optus Stadium"
"Round 9","Western Bulldogs","Richmond","People First Stadium"
"Round 9","Narrm","Yartapuulti","Gabba"
"Round 9","Carlton","Hawthorn","Optus Stadium"
"Round 9","Essendon","Brisbane Lions","People First Stadium"
"Round 9","North Melbourne","Kuwarna","People First Stadium"
"Round 9","Euro-Yroke","Sydney Swans","Gabba"
"Round 9","Waalitj Marawar","Geelong Cats","Optus Stadium"
"Round 9","Gold Coast SUNS","GWS GIANTS","People First Stadium"
"Round 9","Walyalup","Collingwood","Optus Stadium"
"Round 10","Yartapuulti","Western Bulldogs","Adelaide Oval"
"Round 10","Richmond","Brisbane Lions","People First Stadium"
"Round 10","Geelong Cats","North Melbourne","Gabba"
"Round 10","Kuwarna","Narrm","Adelaide Oval"
"Round 10","Collingwood","Sydney Swans","Gabba"
"Round 10","Gold Coast SUNS","Euro-Yroke","People First Stadium"
"Round 10","Essendon","GWS GIANTS","People First Stadium"
"Round 11","Yartapuulti","Richmond","Adelaide Oval"
"Round 11","Brisbane Lions","Western Bulldogs","Gabba"
"Round 11","Waalitj Marawar","Carlton","Optus Stadium"
"Round 11","Narrm","North Melbourne","Adelaide Oval"
"Round 11","Euro-Yroke","Geelong Cats","Gabba"
"Round 11","Walyalup","Hawthorn","Optus Stadium"
"Round 11","Kuwarna","Collingwood","Adelaide Oval"
"Round 11","Gold Coast SUNS","Essendon","People First Stadium"
"Round 12","Sydney Swans","GWS GIANTS","Optus Stadium"
"Round 12","Geelong Cats","Yartapuulti","People First Stadium"
"Round 12","North Melbourne","Brisbane Lions","People First Stadium"
"Round 12","Narrm","Collingwood","Gabba"
"Round 12","Walyalup","Carlton","Optus Stadium"
"Round 12","Western Bulldogs","Kuwarna","People First Stadium"
"Round 12","Euro-Yroke","Essendon","Gabba"
"Round 12","Waalitj Marawar","Hawthorn","Optus Stadium"
"Round 12","Richmond","Gold Coast SUNS","Gabba"
"Round 13","Gold Coast SUNS","Carlton","TIO Stadium"
"Round 13","Western Bulldogs","Narrm","People First Stadium"
"Round 13","Yartapuulti","Hawthorn","Adelaide Oval"
"Round 13","Essendon","Richmond","TIO Stadium"
"Round 13","Walyalup","Sydney Swans","Optus Stadium"
"Round 13","Kuwarna","Geelong Cats","Adelaide Oval"
"Round 13","Brisbane Lions","Euro-Yroke","Gabba"
"Round 13","Waalitj Marawar","GWS GIANTS","Optus Stadium"
"Round 13","Collingwood","North Melbourne","Gabba"
"Round 14","Hawthorn","Essendon","Adelaide Oval"
"Round 14","Richmond","Waalitj Marawar","People First Stadium"
"Round 14","Western Bulldogs","Geelong Cats","People First Stadium"
"Round 14","Yartapuulti","Sydney Swans","Adelaide Oval"
"Round 14","Walyalup","GWS GIANTS","Optus Stadium"
"Round 14","Narrm","Euro-Yroke","TIO Traeger Park"
"Round 14","Carlton","Collingwood","Gabba"
"Round 14","Gold Coast SUNS","North Melbourne","People First Stadium"
"Round 15","Hawthorn","Kuwarna","Adelaide Oval"
"Round 15","Waalitj Marawar","Essendon","Gabba"
"Round 15","Richmond","Walyalup","People First Stadium"
"Round 15","Sydney Swans","Narrm","Cazalys Stadium"
"Round 15","GWS GIANTS","Carlton","People First Stadium"
"Round 15","Brisbane Lions","Collingwood","Gabba"
"Round 16","North Melbourne","Yartapuulti","People First Stadium"
"Round 16","Euro-Yroke","Hawthorn","People First Stadium"
"Round 16","Geelong Cats","Essendon","Gabba"
"Round 16","Western Bulldogs","Waalitj Marawar","People First Stadium"
"Round 16","Narrm","Walyalup","Cazalys Stadium"
"Round 16","Kuwarna","GWS GIANTS","Adelaide Oval"
"Round 16","Carlton","Sydney Swans","People First Stadium"
"Round 16","Brisbane Lions","Gold Coast SUNS","Gabba"
"Round 17","Euro-Yroke","Waalitj Marawar","Gabba"
"Round 17","Geelong Cats","Richmond","People First Stadium"
"Round 17","North Melbourne","Walyalup","People First Stadium"
"Round 17","Yartapuulti","Essendon","Adelaide Oval"
"Round 17","GWS GIANTS","Narrm","Gabba"
"Round 17","Carlton","Kuwarna","People First Stadium"
"Round 17","Hawthorn","Western Bulldogs","Adelaide Oval"
"Round 17","Sydney Swans","Brisbane Lions","Cazalys Stadium"
"Round 17","Collingwood","Gold Coast SUNS","Gabba"
"Round 18","North Melbourne","Waalitj Marawar","People First Stadium"
"Round 18","Euro-Yroke","GWS GIANTS","Gabba"
"Round 18","Essendon","Narrm","People First Stadium"
"Round 18","Kuwarna","Richmond","Adelaide Oval"
"Round 18","Brisbane Lions","Carlton","Gabba"
"Round 18","Hawthorn","Gold Coast SUNS","Adelaide Oval"
"Round 18","Sydney Swans","Geelong Cats","People First Stadium"
"Round 18","Walyalup","Western Bulldogs","Cazalys Stadium"
