Round,Home,Away,Venue
Opening Round,Sydney Swans,Hawthorn,SCG
Opening Round,GWS GIANTS,Collingwood,ENGIE Stadium
Round 1,Richmond,Carlton,MCG
Round 1,Hawthorn,Essendon,MCG
Round 1,Geelong Cats,Walyalup,GMHBA Stadium
Round 1,Sydney Swans,Brisbane Lions,SCG
Round 1,Western Bulldogs,North Melbourne,Marvel Stadium
Round 1,Collingwood,Yartapuulti,MCG
Round 1,Kuwarna,Euro-Yroke,Adelaide Oval
Round 1,Narrm,GWS GIANTS,MCG
Round 1,Waalitj Marawar,Gold Coast SUNS,Optus Stadium
Round 2,Carlton,Hawthorn,MCG
Round 2,Western Bulldogs,Collingwood,MCG
Round 2,Essendon,Kuwarna,MCG
Round 2,Yartapuulti,Richmond,Adelaide Oval
Round 2,Euro-Yroke,Geelong Cats,Marvel Stadium
Round 2,Brisbane Lions,Waalitj Marawar,Gabba
Round 2,North Melbourne,Narrm,Marvel Stadium
Round 2,Walyalup,Sydney Swans,Optus Stadium
Round 3,Essendon,Yartapuulti,Marvel Stadium
Round 3,Carlton,Western Bulldogs,Marvel Stadium
Round 3,Narrm,Gold Coast SUNS,MCG
Round 3,Euro-Yroke,Richmond,Marvel Stadium
Round 3,Hawthorn,GWS GIANTS,UTAS Stadium
Round 3,Brisbane Lions,Geelong Cats,Gabba
Round 3,Kuwarna,North Melbourne,Adelaide Oval
Round 3,Waalitj Marawar,Walyalup,Optus Stadium
Round 4,Collingwood,Carlton,MCG
Round 4,Geelong Cats,Narrm,GMHBA Stadium
Round 4,Gold Coast SUNS,Kuwarna,People First Stadium
Round 4,Richmond,Brisbane Lions,MCG
Round 4,North Melbourne,Sydney Swans,Marvel Stadium
Round 4,GWS GIANTS,Waalitj Marawar,ENGIE Stadium
Round 4,Yartapuulti,Euro-Yroke,Adelaide Oval
Round 4,Walyalup,Western Bulldogs,Optus Stadium
Round 5,Kuwarna,Geelong Cats,Adelaide Oval
Round 5,Collingwood,Sydney Swans,Adelaide Oval
Round 5,North Melbourne,Gold Coast SUNS,Barossa Park
Round 5,Carlton,Waalitj Marawar,Adelaide Oval
Round 5,Western Bulldogs,Brisbane Lions,Norwood Oval
Round 5,Narrm,Essendon,Adelaide Oval
Round 5,Richmond,Walyalup,Barossa Park
Round 5,Euro-Yroke,GWS GIANTS,Norwood Oval
Round 5,Yartapuulti,Hawthorn,Adelaide Oval
Round 6,Brisbane Lions,Collingwood,Gabba
Round 6,North Melbourne,Carlton,Marvel Stadium
Round 6,Waalitj Marawar,Essendon,Optus Stadium
Round 6,Narrm,Walyalup,MCG
Round 6,Kuwarna,GWS GIANTS,Adelaide Oval
Round 6,Richmond,Gold Coast SUNS,Marvel Stadium
Round 6,Sydney Swans,Yartapuulti,SCG
Round 6,Western Bulldogs,Euro-Yroke,Marvel Stadium
Round 6,Geelong Cats,Hawthorn,MCG
Round 7,Narrm,Richmond,MCG
Round 7,Collingwood,Essendon,MCG
Round 7,Walyalup,Kuwarna,Optus Stadium
Round 7,Euro-Yroke,Brisbane Lions,Marvel Stadium
Round 7,Yartapuulti,North Melbourne,Adelaide Oval
Round 7,GWS GIANTS,Western Bulldogs,Corroboree Group Oval Manuka
Round 7,Gold Coast SUNS,Sydney Swans,People First Stadium
Round 7,Carlton,Geelong Cats,MCG
Round 7,Hawthorn,Waalitj Marawar,Marvel Stadium
Round 8,Essendon,North Melbourne,Marvel Stadium
Round 8,Euro-Yroke,Walyalup,Marvel Stadium
Round 8,Western Bulldogs,Yartapuulti,Mars Stadium
Round 8,Kuwarna,Carlton,Adelaide Oval
Round 8,Collingwood,Geelong Cats,MCG
Round 8,Waalitj Marawar,Narrm,Optus Stadium
Round 8,Sydney Swans,GWS GIANTS,SCG
Round 8,Hawthorn,Richmond,MCG
Round 8,Brisbane Lions,Gold Coast SUNS,Gabba
Round 9,Walyalup,Collingwood,Optus Stadium
Round 9,Euro-Yroke,Carlton,MCG
Round 9,Narrm,Hawthorn,MCG
Round 9,Essendon,Sydney Swans,Marvel Stadium
Round 9,Gold Coast SUNS,Western Bulldogs,TIO Stadium
Round 9,Yartapuulti,Kuwarna,Adelaide Oval
Round 9,Richmond,Waalitj Marawar,MCG
Round 9,Geelong Cats,GWS GIANTS,GMHBA Stadium
Round 9,North Melbourne,Brisbane Lions,Ninja Stadium
Round 10,Gold Coast SUNS,Hawthorn,TIO Stadium
Round 10,Sydney Swans,Carlton,SCG
Round 10,Collingwood,Kuwarna,MCG
Round 10,Yartapuulti,Geelong Cats,Adelaide Oval
Round 10,GWS GIANTS,Walyalup,ENGIE Stadium
Round 10,Western Bulldogs,Essendon,Marvel Stadium
Round 10,Richmond,North Melbourne,MCG
Round 10,Brisbane Lions,Narrm,Gabba
Round 10,Waalitj Marawar,Euro-Yroke,Optus Stadium
Round 11,Geelong Cats,Western Bulldogs,GMHBA Stadium
Round 11,Essendon,Richmond,MCG
Round 11,Carlton,GWS GIANTS,Marvel Stadium
Round 11,Hawthorn,Brisbane Lions,MCG
Round 11,North Melbourne,Collingwood,Marvel Stadium
Round 11,Walyalup,Yartapuulti,Optus Stadium
Round 11,Kuwarna,Waalitj Marawar,Adelaide Oval
Round 11,Narrm,Sydney Swans,MCG
Round 11,Euro-Yroke,Gold Coast SUNS,Marvel Stadium
Round 12,Brisbane Lions,Essendon,Gabba
Round 12,Collingwood,Hawthorn,MCG
Round 12,Gold Coast SUNS,Walyalup,People First Stadium
Round 12,GWS GIANTS,Richmond,ENGIE Stadium
Round 12,Sydney Swans,Kuwarna,SCG
Round 12,Narrm,Euro-Yroke,TIO Traeger Park
Round 12,Waalitj Marawar,Geelong Cats,Optus Stadium
Round 13,Western Bulldogs,Hawthorn,Marvel Stadium
Round 13,Kuwarna,Brisbane Lions,Adelaide Oval
Round 13,Richmond,Sydney Swans,MCG
Round 13,Geelong Cats,Gold Coast SUNS,GMHBA Stadium
Round 13,GWS GIANTS,Yartapuulti,Corroboree Group Oval Manuka
Round 13,North Melbourne,Waalitj Marawar,Hands Oval
Round 13,Carlton,Essendon,MCG
Round 13,Narrm,Collingwood,MCG
Round 14,Euro-Yroke,Western Bulldogs,Marvel Stadium
Round 14,Hawthorn,Kuwarna,UTAS Stadium
Round 14,Brisbane Lions,GWS GIANTS,Gabba
Round 14,Essendon,Geelong Cats,MCG
Round 14,North Melbourne,Walyalup,Optus Stadium
Round 14,Yartapuulti,Narrm,Adelaide Oval
Round 14,Waalitj Marawar,Carlton,Optus Stadium
Round 15,Walyalup,Essendon,Optus Stadium
Round 15,Geelong Cats,Brisbane Lions,GMHBA Stadium
Round 15,Carlton,North Melbourne,MCG
Round 15,Yartapuulti,Sydney Swans,Adelaide Oval
Round 15,Collingwood,Euro-Yroke,Marvel Stadium
Round 15,GWS GIANTS,Gold Coast SUNS,ENGIE Stadium
Round 15,Western Bulldogs,Richmond,Marvel Stadium
Round 16,Yartapuulti,Carlton,Adelaide Oval
Round 16,Sydney Swans,Western Bulldogs,SCG
Round 16,Gold Coast SUNS,Narrm,People First Stadium
Round 16,Hawthorn,North Melbourne,UTAS Stadium
Round 16,Collingwood,Waalitj Marawar,Marvel Stadium
Round 16,Richmond,Kuwarna,MCG
Round 16,Walyalup,Euro-Yroke,Optus Stadium
Round 17,North Melbourne,Western Bulldogs,Marvel Stadium
Round 17,Carlton,Collingwood,MCG
Round 17,Waalitj Marawar,GWS GIANTS,Optus Stadium
Round 17,Essendon,Gold Coast SUNS,Marvel Stadium
Round 17,Geelong Cats,Richmond,GMHBA Stadium
Round 17,Brisbane Lions,Yartapuulti,Gabba
Round 17,Euro-Yroke,Hawthorn,Marvel Stadium
Round 17,Sydney Swans,Walyalup,SCG
Round 17,Kuwarna,Narrm,Adelaide Oval
Round 18,Carlton,Brisbane Lions,Marvel Stadium
Round 18,Gold Coast SUNS,Collingwood,People First Stadium
Round 18,Western Bulldogs,Kuwarna,Marvel Stadium
Round 18,GWS GIANTS,Geelong Cats,ENGIE Stadium
Round 18,Richmond,Essendon,MCG
Round 18,Walyalup,Hawthorn,Optus Stadium
Round 18,Narrm,North Melbourne,MCG
Round 18,Euro-Yroke,Sydney Swans,Marvel Stadium
Round 18,Yartapuulti,Waalitj Marawar,Adelaide Oval
Round 19,Essendon,GWS GIANTS,Marvel Stadium
Round 19,Brisbane Lions,Western Bulldogs,Gabba
Round 19,Hawthorn,Yartapuulti,UTAS Stadium
Round 19,Sydney Swans,North Melbourne,SCG
Round 19,Carlton,Narrm,MCG
Round 19,Waalitj Marawar,Richmond,Optus Stadium
Round 19,Geelong Cats,Euro-Yroke,GMHBA Stadium
Round 19,Collingwood,Walyalup,MCG
Round 19,Kuwarna,Gold Coast SUNS,Adelaide Oval
Round 20,Hawthorn,Carlton,MCG
Round 20,Essendon,Western Bulldogs,Marvel Stadium
Round 20,GWS GIANTS,Sydney Swans,ENGIE Stadium
Round 20,Gold Coast SUNS,Brisbane Lions,People First Stadium
Round 20,Walyalup,Waalitj Marawar,Optus Stadium
Round 20,North Melbourne,Geelong Cats,Marvel Stadium
Round 20,Kuwarna,Yartapuulti,Adelaide Oval
Round 20,Richmond,Collingwood,MCG
Round 20,Euro-Yroke,Narrm,Marvel Stadium
Round 21,Western Bulldogs,GWS GIANTS,Marvel Stadium
Round 21,Kuwarna,Hawthorn,Adelaide Oval
Round 21,Narrm,Waalitj Marawar,Marvel Stadium
Round 21,Gold Coast SUNS,Richmond,People First Stadium
Round 21,Sydney Swans,Essendon,SCG
Round 21,Collingwood,Brisbane Lions,MCG
Round 21,Euro-Yroke,North Melbourne,Marvel Stadium
Round 21,Geelong Cats,Yartapuulti,GMHBA Stadium
Round 21,Walyalup,Carlton,Optus Stadium
Round 22,Hawthorn,Collingwood,MCG
Round 22,Geelong Cats,Essendon,GMHBA Stadium
Round 22,Richmond,Euro-Yroke,MCG
Round 22,Brisbane Lions,Sydney Swans,Gabba
Round 22,Carlton,Gold Coast SUNS,Marvel Stadium
Round 22,Yartapuulti,Walyalup,Adelaide Oval
Round 22,GWS GIANTS,North Melbourne,Corroboree Group Oval Manuka
Round 22,Narrm,Western Bulldogs,MCG
Round 22,Waalitj Marawar,Kuwarna,Optus Stadium
Round 23,Essendon,Euro-Yroke,Marvel Stadium
Round 23,Walyalup,Brisbane Lions,Optus Stadium
Round 23,Gold Coast SUNS,GWS GIANTS,People First Stadium
Round 23,Carlton,Yartapuulti,Marvel Stadium
Round 23,Hawthorn,Narrm,MCG
Round 23,Kuwarna,Collingwood,Adelaide Oval
Round 23,North Melbourne,Richmond,Ninja Stadium
Round 23,Sydney Swans,Geelong Cats,SCG
Round 23,Western Bulldogs,Waalitj Marawar,Marvel Stadium
Round 24,Essendon,Carlton,MCG
Round 24,Collingwood,Narrm,MCG
Round 24,Yartapuulti,Gold Coast SUNS,Adelaide Oval
Round 24,North Melbourne,Kuwarna,Marvel Stadium
Round 24,Richmond,Geelong Cats,MCG
Round 24,Waalitj Marawar,Sydney Swans,Optus Stadium
Round 24,GWS GIANTS,Euro-Yroke,ENGIE Stadium
Round 24,Western Bulldogs,Walyalup,Marvel Stadium
Round 24,Brisbane Lions,Hawthorn,Gabba
Round 24,Gold Coast SUNS,Essendon,People First Stadium
Finals Week 1,Kuwarna,Collingwood,Adelaide Oval
Finals Week 1,Geelong Cats,Brisbane Lions,MCG
Finals Week 1,GWS GIANTS,Hawthorn,ENGIE Stadium
Finals Week 1,Walyalup,Gold Coast SUNS,Optus Stadium
Semi Finals,Kuwarna,Hawthorn,Adelaide Oval
Semi Finals,Brisbane Lions,Gold Coast SUNS,Gabba
Preliminary Finals,Geelong Cats,Hawthorn,MCG
Preliminary Finals,Collingwood,Brisbane Lions,MCG
Grand Final,Geelong Cats,Brisbane Lions,MCG
