"round.roundNumber","venue.name","home.team.club.name","away.team.club.name","player.jumperNumber","player.player.position","player.player.player.givenName","player.player.player.surname","player.player.player.playerId"
0,"SCG","Sydney Swans","Hawthorn",3,"INT","Taylor","Adams","CD_I291776"
0,"SCG","Sydney Swans","Hawthorn",36,"FF","Joel","Amartey","CD_I1008091"
0,"SCG","Sydney Swans","Hawthorn",22,"BPL","Nick","Blakey","CD_I1006028"
0,"SCG","Sydney Swans","Hawthorn",16,"HFFL","Braeden","Campbell","CD_I1013133"
0,"SCG","Sydney Swans","Hawthorn",13,"INT","Oliver","Florent","CD_I998103"
0,"SCG","Sydney Swans","Hawthorn",4,"RK","Brodie","Grundy","CD_I293957"
0,"SCG","Sydney Swans","Hawthorn",40,"SUB","Tom","Hanily","CD_I1027687"
0,"SCG","Sydney Swans","Hawthorn",9,"FPL","Will","Hayward","CD_I997100"
0,"SCG","Sydney Swans","Hawthorn",5,"C","Isaac","Heeney","CD_I298539"
0,"SCG","Sydney Swans","Hawthorn",17,"FPR","James","Jordon","CD_I1013409"
0,"SCG","Sydney Swans","Hawthorn",44,"WL","Jake","Lloyd","CD_I295342"
0,"SCG","Sydney Swans","Hawthorn",30,"CHF","Tom","McCartin","CD_I1008198"
0,"SCG","Sydney Swans","Hawthorn",27,"WR","Justin","McInerney","CD_I1011936"
0,"SCG","Sydney Swans","Hawthorn",43,"FB","Lewis","Melican","CD_I996743"
0,"SCG","Sydney Swans","Hawthorn",11,"HFFR","Tom","Papley","CD_I996765"
0,"SCG","Sydney Swans","Hawthorn",25,"HBFR","Ben","Paton","CD_I1004985"
0,"SCG","Sydney Swans","Hawthorn",24,"CHB","Dane","Rampe","CD_I290307"
0,"SCG","Sydney Swans","Hawthorn",34,"HBFL","Matt","Roberts","CD_I1012210"
0,"SCG","Sydney Swans","Hawthorn",8,"R","James","Rowbottom","CD_I1006126"
0,"SCG","Sydney Swans","Hawthorn",12,"INT","Angus","Sheldrick","CD_I1020339"
0,"SCG","Sydney Swans","Hawthorn",1,"RR","Chad","Warner","CD_I1012014"
0,"SCG","Sydney Swans","Hawthorn",37,"INT","Corey","Warner","CD_I1018424"
0,"SCG","Sydney Swans","Hawthorn",15,"BPR","Sam","Wicks","CD_I1006232"
0,"SCG","Sydney Swans","Hawthorn",10,"R","Karl","Amon","CD_I297354"
0,"SCG","Sydney Swans","Hawthorn",37,"BPL","Tom","Barrass","CD_I990290"
0,"SCG","Sydney Swans","Hawthorn",24,"HBFR","Josh","Battle","CD_I998134"
0,"SCG","Sydney Swans","Hawthorn",18,"FF","Mabior","Chol","CD_I994077"
0,"SCG","Sydney Swans","Hawthorn",16,"HFFL","Massimo","D'Ambrosio","CD_I1005144"
0,"SCG","Sydney Swans","Hawthorn",12,"FPR","Will","Day","CD_I1008550"
0,"SCG","Sydney Swans","Hawthorn",8,"SUB","Sam","Frost","CD_I293738"
0,"SCG","Sydney Swans","Hawthorn",33,"FPL","Jack","Ginnivan","CD_I1012857"
0,"SCG","Sydney Swans","Hawthorn",15,"FB","Blake","Hardwick","CD_I993794"
0,"SCG","Sydney Swans","Hawthorn",4,"CHB","Jarman","Impey","CD_I296254"
0,"SCG","Sydney Swans","Hawthorn",31,"WR","Connor","Macdonald","CD_I1017094"
0,"SCG","Sydney Swans","Hawthorn",28,"INT","Cam","Mackenzie","CD_I1023482"
0,"SCG","Sydney Swans","Hawthorn",20,"INT","Finn","Maginness","CD_I1009421"
0,"SCG","Sydney Swans","Hawthorn",17,"RK","Lloyd","Meek","CD_I1000980"
0,"SCG","Sydney Swans","Hawthorn",13,"WL","Dylan","Moore","CD_I1006314"
0,"SCG","Sydney Swans","Hawthorn",1,"CHF","Harry","Morrison","CD_I1000963"
0,"SCG","Sydney Swans","Hawthorn",11,"INT","Conor","Nash","CD_I1007124"
0,"SCG","Sydney Swans","Hawthorn",3,"C","Jai","Newcombe","CD_I1020895"
0,"SCG","Sydney Swans","Hawthorn",14,"INT","Jack","Scrimshaw","CD_I998114"
0,"SCG","Sydney Swans","Hawthorn",6,"BPR","James","Sicily","CD_I297566"
0,"SCG","Sydney Swans","Hawthorn",34,"HFFR","Nick","Watson","CD_I1023473"
0,"SCG","Sydney Swans","Hawthorn",23,"HBFL","Josh","Weddle","CD_I1027935"
0,"SCG","Sydney Swans","Hawthorn",5,"RR","James","Worpel","CD_I1002222"
0,"ENGIE Stadium","GWS GIANTS","Collingwood",7,"HBFR","Lachie","Ash","CD_I1009253"
0,"ENGIE Stadium","GWS GIANTS","Collingwood",14,"HFFL","Toby","Bedford","CD_I1008139"
0,"ENGIE Stadium","GWS GIANTS","Collingwood",32,"RK","Kieren","Briggs","CD_I1008436"
0,"ENGIE Stadium","GWS GIANTS","Collingwood",46,"INT","Callum","Brown","CD_I1014038"
