"Season","Round","Date","Local.start.time","Venue","Attendance","First.name","Surname","ID","Jumper.No.","Playing.for","Kicks","Marks","Handballs","Disposals","Goals","Behinds","Hit.Outs","Tackles","Rebounds","Inside.50s","Clearances","Clangers","Frees.For","Frees.Against","Brownlow.Votes","Contested.Possessions","Uncontested.Possessions","Contested.Marks","Marks.Inside.50","One.Percenters","Bounces","Goal.Assists","Time.on.Ground","Substitute","Umpire.1","Umpire.2","Umpire.3","Umpire.4","Home.team","HQ1G","HQ1B","HQ2G","HQ2B","HQ3G","HQ3B","HQ4G","HQ4B","HQETG","HQETB","Home.score","Away.team","AQ1G","AQ1B","AQ2G","AQ2B","AQ3G","AQ3B","AQ4G","AQ4B","AQETG","AQETB","Away.score","HQ1P","HQ2P","HQ3P","HQ4P","HQETP","AQ1P","AQ2P","AQ3P","AQ4P","AQETP","Player","Team","url","Age","Career.Games","Coach","DOB","Home.Away"
2025,"1",2025-03-07,1940,"S.C.G.",40310,"Taylor","Adams",12066,"3","Sydney",4,3,4,8,1,0,0,0,0,2,1,3,0,1,0,3,6,0,1,0,0,1,54,"","Brendan Hosking"," Simon Meredith"," Jacob Mollison"," Martin Rodger","Sydney",4,3,6,4,11,5,11,10,NA,NA,76,"Hawthorn",5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,"Taylor Adams","Sydney","https://afltables.com/afl/stats/players/T/Taylor_Adams.html",31.4599589322382,226,"Cox, Dean","20-Sep-1993","Home"
2025,"1",2025-03-07,1940,"S.C.G.",40310,"Joel","Amartey",12844,"36","Sydney",7,4,4,11,3,1,1,2,0,0,0,0,2,0,0,5,6,0,1,1,0,0,82,"","Brendan Hosking"," Simon Meredith"," Jacob Mollison"," Martin Rodger","Sydney",4,3,6,4,11,5,11,10,NA,NA,76,"Hawthorn",5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,"Joel Amartey","Sydney","https://afltables.com/afl/stats/players/J/Joel_Amartey.html",25.5092402464066,54,"Cox, Dean","2-Sep-1999","Home"
2025,"1",2025-03-07,1940,"S.C.G.",40310,"Nick","Blakey",12699,"22","Sydney",21,3,5,26,1,0,0,0,13,1,0,4,2,0,0,6,9,0,0,6,4,0,87,"","Brendan Hosking"," Simon Meredith"," Jacob Mollison"," Martin Rodger","Sydney",4,3,6,4,11,5,11,10,NA,NA,76,"Hawthorn",5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,"Nick Blakey","Sydney","https://afltables.com/afl/stats/players/N/Nick_Blakey.html",25.0219028062971,129,"Cox, Dean","27-Feb-2000","Home"
2025,"1",2025-03-07,1940,"S.C.G.",40310,"Braeden","Campbell",12863,"16","Sydney",6,2,2,8,0,0,0,4,1,4,0,0,0,0,0,2,5,0,0,1,0,1,80,"","Brendan Hosking"," Simon Meredith"," Jacob Mollison"," Martin Rodger","Sydney",4,3,6,4,11,5,11,10,NA,NA,76,"Hawthorn",5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,"Braeden Campbell","Sydney","https://afltables.com/afl/stats/players/B/Braeden_Campbell.html",23.0848733744011,72,"Cox, Dean","4-Feb-2002","Home"
2025,"1",2025-03-07,1940,"S.C.G.",40310,"Oliver","Florent",12497,"13","Sydney",9,3,7,16,0,2,0,2,1,1,0,5,2,2,0,3,12,0,0,5,1,0,77,"","Brendan Hosking"," Simon Meredith"," Jacob Mollison"," Martin Rodger","Sydney",4,3,6,4,11,5,11,10,NA,NA,76,"Hawthorn",5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,"Oliver Florent","Sydney","https://afltables.com/afl/stats/players/O/Oliver_Florent.html",26.6242299794661,169,"Cox, Dean","22-Jul-1998","Home"
2025,"1",2025-03-07,1940,"S.C.G.",40310,"Brodie","Grundy",12217,"4","Sydney",3,2,8,11,0,0,40,1,0,0,1,4,0,2,0,7,4,1,0,2,0,0,80,"","Brendan Hosking"," Simon Meredith"," Jacob Mollison"," Martin Rodger","Sydney",4,3,6,4,11,5,11,10,NA,NA,76,"Hawthorn",5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,"Brodie Grundy","Sydney","https://afltables.com/afl/stats/players/B/Brodie_Grundy.html",30.8925393566051,221,"Cox, Dean","15-Apr-1994","Home"
2025,"1",2025-03-07,1940,"S.C.G.",40310,"Tom","Hanily",13173,"40","Sydney",2,1,4,6,0,0,0,3,0,0,1,3,1,0,0,3,2,0,0,1,0,0,31,"On","Brendan Hosking"," Simon Meredith"," Jacob Mollison"," Martin Rodger","Sydney",4,3,6,4,11,5,11,10,NA,NA,76,"Hawthorn",5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,"Tom Hanily","Sydney","https://afltables.com/afl/stats/players/T/Tom_Hanily.html",19.766598220397,1,"Cox, Dean","31-May-2005","Home"
2025,"1",2025-03-07,1940,"S.C.G.",40310,"Will","Hayward",12509,"9","Sydney",4,0,1,5,1,0,0,4,0,0,0,0,1,0,0,2,3,0,0,1,0,0,79,"","Brendan Hosking"," Simon Meredith"," Jacob Mollison"," Martin Rodger","Sydney",4,3,6,4,11,5,11,10,NA,NA,76,"Hawthorn",5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,"Will Hayward","Sydney","https://afltables.com/afl/stats/players/W/Will_Hayward.html",26.3613963039014,164,"Cox, Dean","26-Oct-1998","Home"
2025,"1",2025-03-07,1940,"S.C.G.",40310,"Isaac","Heeney",12326,"5","Sydney",9,1,12,21,0,0,0,7,3,2,10,1,1,1,0,14,5,0,0,1,0,0,82,"","Brendan Hosking"," Simon Meredith"," Jacob Mollison"," Martin Rodger","Sydney",4,3,6,4,11,5,11,10,NA,NA,76,"Hawthorn",5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,"Isaac Heeney","Sydney","https://afltables.com/afl/stats/players/I/Isaac_Heeney.html",28.8377823408624,202,"Cox, Dean","5-May-1996","Home"
2025,"1",2025-03-07,1940,"S.C.G.",40310,"James","Jordon",12860,"17","Sydney",10,0,10,20,0,0,0,4,1,2,7,5,1,3,0,11,8,0,0,0,0,0,82,"","Brendan Hosking"," Simon Meredith"," Jacob Mollison"," Martin Rodger","Sydney",4,3,6,4,11,5,11,10,NA,NA,76,"Hawthorn",5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,"James Jordon","Sydney","https://afltables.com/afl/stats/players/J/James_Jordon.html",24.2108145106092,92,"Cox, Dean","20-Dec-2000","Home"
