"","venue_name","match_id","match_home_team","match_away_team","match_date","match_local_time","match_attendance","match_round","match_home_team_goals","match_home_team_behinds","match_home_team_score","match_away_team_goals","match_away_team_behinds","match_away_team_score","match_margin","match_winner","match_weather_temp_c","match_weather_type","player_id","player_first_name","player_last_name","player_height_cm","player_weight_kg","player_is_retired","player_team","guernsey_number","kicks","marks","handballs","disposals","effective_disposals","disposal_efficiency_percentage","goals","behinds","hitouts","tackles","rebounds","inside_fifties","clearances","clangers","free_kicks_for","free_kicks_against","brownlow_votes","contested_possessions","uncontested_possessions","contested_marks","marks_inside_fifty","one_percenters","bounces","goal_assists","time_on_ground_percentage","afl_fantasy_score","supercoach_score","centre_clearances","stoppage_clearances","score_involvements","metres_gained","turnovers","intercepts","tackles_inside_fifty","contest_def_losses","contest_def_one_on_ones","contest_off_one_on_ones","contest_off_wins","def_half_pressure_acts","effective_kicks","f50_ground_ball_gets","ground_ball_gets","hitouts_to_advantage","hitout_win_percentage","intercept_marks","marks_on_lead","pressure_acts","rating_points","ruck_contests","score_launches","shots_at_goal","spoils","subbed","player_position","date"
"1","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12070,"Taylor","Adams",181,0,FALSE,"Sydney",3,4,3,4,8,6,75,1,0,0,0,0,2,1,3,0,1,0,3,6,0,1,0,0,1,54,32,NA,0,1,2,106,4,0,0,0,0,0,0,1,3,1,3,0,0,0,2,7,3.4,0,0,1,0,NA,"INT",2025-03-07
"2","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12124,"Sam","Frost",194,0,FALSE,"Hawthorn",8,2,0,1,3,2,67,0,0,0,0,1,0,0,1,1,1,0,3,0,0,0,4,0,0,44,6,NA,0,0,0,63,1,2,0,0,1,0,0,1,1,0,2,0,0,0,0,1,1.9,0,0,0,2,NA,"SUB",2025-03-07
"3","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12148,"Dane","Rampe",187,0,FALSE,"Sydney",24,10,4,1,11,6,55,0,0,0,2,4,1,1,4,1,1,0,3,6,0,0,5,0,0,90,50,NA,0,1,0,301,4,5,0,0,1,0,0,6,5,0,2,0,0,0,0,7,2.3,0,0,0,4,NA,"CHB",2025-03-07
"4","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12223,"Brodie","Grundy",202,0,FALSE,"Sydney",4,3,2,8,11,6,55,0,0,40,1,0,0,1,4,0,2,0,7,4,1,0,2,0,0,80,69,NA,1,0,7,15,1,3,0,0,3,0,0,6,1,0,5,13,49.4,1,0,12,5,81,6,0,1,NA,"RK",2025-03-07
"5","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12245,"Jarman","Impey",178,0,FALSE,"Hawthorn",4,10,7,2,12,9,75,0,0,0,0,3,0,0,4,0,1,0,0,11,0,0,5,0,0,83,52,NA,0,0,2,228,3,0,0,0,2,0,0,7,7,0,0,0,0,0,2,8,-0.6,0,1,0,5,NA,"CHB",2025-03-07
"6","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12275,"Jake","Lloyd",182,0,FALSE,"Sydney",44,11,3,8,19,12,63,0,0,0,4,6,1,1,4,2,0,0,4,14,0,0,3,0,0,87,76,NA,0,1,3,271,4,4,0,0,0,1,0,5,5,0,2,0,0,0,0,14,4.5,0,1,1,1,NA,"WL",2025-03-07
"7","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12331,"Isaac","Heeney",185,0,FALSE,"Sydney",5,9,1,12,21,15,71,0,0,0,7,3,2,10,1,1,1,0,14,5,0,0,1,0,0,82,80,NA,6,4,6,166,2,1,2,0,0,0,0,19,6,0,9,0,0,0,0,26,16.3,1,2,0,0,NA,"C",2025-03-07
"8","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12342,"James","Sicily",188,0,FALSE,"Hawthorn",6,15,8,5,20,14,70,1,0,0,0,2,3,0,4,2,2,0,10,8,5,2,4,0,1,91,81,NA,0,0,7,431,4,8,0,0,5,1,0,1,9,0,3,0,0,4,0,3,8.1,0,2,3,2,NA,"BPR",2025-03-07
"9","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12365,"Karl","Amon",181,0,FALSE,"Hawthorn",10,21,6,6,27,19,70,1,2,0,1,3,6,2,4,2,0,0,4,18,0,0,1,1,0,82,107,NA,1,1,5,698,8,5,0,0,0,0,0,7,15,0,3,0,0,1,0,8,12.4,0,1,3,1,NA,"R",2025-03-07
"10","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12391,"Tom","Barrass",197,0,FALSE,"Hawthorn",37,6,6,3,9,7,78,0,0,0,1,0,1,0,3,1,2,0,2,7,1,0,8,0,1,94,41,NA,0,0,4,64,1,5,0,1,1,0,0,2,4,0,0,0,0,4,0,3,1.2,0,2,0,7,NA,"BPL",2025-03-07
