Season,Round,Date,Local.start.time,Venue,Attendance,First.name,Surname,ID,Jumper.No.,Playing.for,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit.Outs,Tackles,Rebounds,Inside.50s,Clearances,Clangers,Frees.For,Frees.Against,Brownlow.Votes,Contested.Possessions,Uncontested.Possessions,Contested.Marks,Marks.Inside.50,One.Percenters,Bounces,Goal.Assists,Time.on.Ground,Substitute,Umpire.1,Umpire.2,Umpire.3,Umpire.4,Home.team,HQ1G,HQ1B,HQ2G,HQ2B,HQ3G,HQ3B,HQ4G,HQ4B,HQETG,HQETB,Home.score,Away.team,AQ1G,AQ1B,AQ2G,AQ2B,AQ3G,AQ3B,AQ4G,AQ4B,AQETG,AQETB,Away.score,HQ1P,HQ2P,HQ3P,HQ4P,HQETP,AQ1P,AQ2P,AQ3P,AQ4P,AQETP,Player,Team,url,Age,Career.Games,Coach,DOB,Home.Away,Position,match_weather_temp_c,match_weather_type,Is_Raining
2025,1,2025-03-07,1940,S.C.G.,40310,Taylor,Adams,12066,3,Sydney,4,3,4,8,1,0,0,0,0,2,1,3,0,1,0,3,6,0,1,0,0,1,54,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Taylor Adams,Sydney,https://afltables.com/afl/stats/players/T/Taylor_Adams.html,31.459958932238195,226,"Cox, Dean",20-Sep-1993,Home,INT,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Joel,Amartey,12844,36,Sydney,7,4,4,11,3,1,1,2,0,0,0,0,2,0,0,5,6,0,1,1,0,0,82,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Joel Amartey,Sydney,https://afltables.com/afl/stats/players/J/Joel_Amartey.html,25.50924024640657,54,"Cox, Dean",2-Sep-1999,Home,FF,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Nick,Blakey,12699,22,Sydney,21,3,5,26,1,0,0,0,13,1,0,4,2,0,0,6,9,0,0,6,4,0,87,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Nick Blakey,Sydney,https://afltables.com/afl/stats/players/N/Nick_Blakey.html,25.021902806297057,129,"Cox, Dean",27-Feb-2000,Home,BPL,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Braeden,Campbell,12863,16,Sydney,6,2,2,8,0,0,0,4,1,4,0,0,0,0,0,2,5,0,0,1,0,1,80,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Braeden Campbell,Sydney,https://afltables.com/afl/stats/players/B/Braeden_Campbell.html,23.084873374401095,72,"Cox, Dean",4-Feb-2002,Home,HFFL,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Oliver,Florent,12497,13,Sydney,9,3,7,16,0,2,0,2,1,1,0,5,2,2,0,3,12,0,0,5,1,0,77,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Oliver Florent,Sydney,https://afltables.com/afl/stats/players/O/Oliver_Florent.html,26.62422997946612,169,"Cox, Dean",22-Jul-1998,Home,INT,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Brodie,Grundy,12217,4,Sydney,3,2,8,11,0,0,40,1,0,0,1,4,0,2,0,7,4,1,0,2,0,0,80,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Brodie Grundy,Sydney,https://afltables.com/afl/stats/players/B/Brodie_Grundy.html,30.892539356605067,221,"Cox, Dean",15-Apr-1994,Home,RK,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Tom,Hanily,13173,40,Sydney,2,1,4,6,0,0,0,3,0,0,1,3,1,0,0,3,2,0,0,1,0,0,31,On,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Tom Hanily,Sydney,https://afltables.com/afl/stats/players/T/Tom_Hanily.html,19.76659822039699,1,"Cox, Dean",31-May-2005,Home,SUB,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Will,Hayward,12509,9,Sydney,4,0,1,5,1,0,0,4,0,0,0,0,1,0,0,2,3,0,0,1,0,0,79,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Will Hayward,Sydney,https://afltables.com/afl/stats/players/W/Will_Hayward.html,26.361396303901437,164,"Cox, Dean",26-Oct-1998,Home,FPL,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Isaac,Heeney,12326,5,Sydney,9,1,12,21,0,0,0,7,3,2,10,1,1,1,0,14,5,0,0,1,0,0,82,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Isaac Heeney,Sydney,https://afltables.com/afl/stats/players/I/Isaac_Heeney.html,28.83778234086242,202,"Cox, Dean",5-May-1996,Home,C,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,James,Jordon,12860,17,Sydney,10,0,10,20,0,0,0,4,1,2,7,5,1,3,0,11,8,0,0,0,0,0,82,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,James Jordon,Sydney,https://afltables.com/afl/stats/players/J/James_Jordon.html,24.210814510609172,92,"Cox, Dean",20-Dec-2000,Home,FPR,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Jake,Lloyd,12268,44,Sydney,11,3,8,19,0,0,0,4,6,1,1,4,2,0,0,4,14,0,0,3,0,0,87,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Jake Lloyd,Sydney,https://afltables.com/afl/stats/players/J/Jake_Lloyd.html,31.459958932238195,250,"Cox, Dean",20-Sep-1993,Home,WL,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Tom,McCartin,12627,30,Sydney,7,7,0,7,1,1,0,1,0,3,0,2,1,1,0,3,5,2,1,1,0,0,89,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Tom McCartin,Sydney,https://afltables.com/afl/stats/players/T/Tom_McCartin.html,25.18343600273785,133,"Cox, Dean",30-Dec-1999,Home,CHF,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Justin,McInerney,12711,27,Sydney,11,6,5,16,0,1,0,2,0,2,1,4,1,4,0,8,9,2,0,0,0,2,87,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Justin McInerney,Sydney,https://afltables.com/afl/stats/players/J/Justin_McInerney.html,24.550308008213552,93,"Cox, Dean",18-Aug-2000,Home,WR,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Lewis,Melican,12526,43,Sydney,8,6,3,11,0,0,0,1,2,0,0,2,0,0,0,4,7,0,0,12,0,0,89,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Lewis Melican,Sydney,https://afltables.com/afl/stats/players/L/Lewis_Melican.html,28.33675564681725,85,"Cox, Dean",4-Nov-1996,Home,FB,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Tom,Papley,12412,11,Sydney,6,3,7,13,1,1,0,0,0,1,1,6,2,3,0,7,7,0,1,2,0,2,81,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Tom Papley,Sydney,https://afltables.com/afl/stats/players/T/Tom_Papley.html,28.648870636550306,186,"Cox, Dean",13-Jul-1996,Home,HFFR,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Ben,Paton,12671,25,Sydney,4,2,8,12,0,0,0,1,1,0,0,1,0,1,0,5,6,0,0,3,0,0,73,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Ben Paton,Sydney,https://afltables.com/afl/stats/players/B/Ben_Paton.html,26.380561259411362,72,"Cox, Dean",19-Oct-1998,Home,HBFR,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Dane,Rampe,12140,24,Sydney,10,4,1,11,0,0,0,2,4,1,1,4,1,1,0,3,6,0,0,5,0,0,90,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Dane Rampe,Sydney,https://afltables.com/afl/stats/players/D/Dane_Rampe.html,34.761122518822724,252,"Cox, Dean",2-Jun-1990,Home,CHB,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Matt,Roberts,12994,34,Sydney,20,9,6,26,0,0,0,2,4,4,0,2,0,1,0,7,19,0,0,2,0,0,95,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Matt Roberts,Sydney,https://afltables.com/afl/stats/players/M/Matt_Roberts.html,21.59958932238193,31,"Cox, Dean",31-Jul-2003,Home,HBFL,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,James,Rowbottom,12714,8,Sydney,13,2,3,16,1,0,0,2,0,4,3,2,0,0,0,4,11,0,0,0,0,0,80,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,James Rowbottom,Sydney,https://afltables.com/afl/stats/players/J/James_Rowbottom.html,24.462696783025326,118,"Cox, Dean",19-Sep-2000,Home,R,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Angus,Sheldrick,12951,12,Sydney,6,1,3,9,0,0,0,2,0,4,1,3,0,1,0,3,6,0,0,0,0,0,48,Off,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Angus Sheldrick,Sydney,https://afltables.com/afl/stats/players/A/Angus_Sheldrick.html,21.32854209445585,10,"Cox, Dean",7-Nov-2003,Home,INT,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Chad,Warner,12797,1,Sydney,16,5,5,21,2,1,0,2,3,6,2,3,1,1,1,6,15,0,1,0,4,1,87,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Chad Warner,Sydney,https://afltables.com/afl/stats/players/C/Chad_Warner.html,23.799452429842574,86,"Cox, Dean",19-May-2001,Home,RR,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Corey,Warner,13053,37,Sydney,3,1,7,10,0,0,0,4,2,1,3,0,0,0,0,5,5,0,0,0,0,0,71,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Corey Warner,Sydney,https://afltables.com/afl/stats/players/C/Corey_Warner.html,21.413415468856947,10,"Cox, Dean",7-Oct-2003,Home,INT,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Sam,Wicks,12818,15,Sydney,13,3,5,18,0,0,0,4,3,1,0,2,3,1,0,6,10,0,0,3,0,0,90,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Sam Wicks,Sydney,https://afltables.com/afl/stats/players/S/Sam_Wicks.html,25.476386036960985,67,"Cox, Dean",14-Sep-1999,Home,BPR,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Karl,Amon,12357,10,Hawthorn,21,6,6,27,1,2,0,1,3,6,2,4,2,0,0,4,18,0,0,1,1,0,82,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Karl Amon,Hawthorn,https://afltables.com/afl/stats/players/K/Karl_Amon.html,29.54757015742642,171,"Mitchell, Sam",19-Aug-1995,Away,R,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Tom,Barrass,12383,37,Hawthorn,6,6,3,9,0,0,0,1,0,1,0,3,1,2,0,2,7,1,0,8,0,1,94,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Tom Barrass,Hawthorn,https://afltables.com/afl/stats/players/T/Tom_Barrass.html,29.410677618069816,151,"Mitchell, Sam",8-Oct-1995,Away,BPL,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Josh,Battle,12558,24,Hawthorn,11,6,2,13,0,1,0,1,3,3,0,2,0,1,0,2,10,1,0,3,0,0,88,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Josh Battle,Hawthorn,https://afltables.com/afl/stats/players/J/Josh_Battle.html,26.511978097193705,124,"Mitchell, Sam",1-Sep-1998,Away,HBFR,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Mabior,Chol,12485,18,Hawthorn,4,3,5,9,1,0,2,2,0,0,0,1,0,1,0,7,3,1,1,2,0,0,90,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Mabior Chol,Hawthorn,https://afltables.com/afl/stats/players/M/Mabior_Chol.html,28.10130047912389,85,"Mitchell, Sam",29-Jan-1997,Away,FF,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Massimo,DAmbrosio,12998,16,Hawthorn,16,6,3,19,0,0,0,1,4,4,2,3,0,1,0,4,15,0,0,0,4,2,79,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Massimo DAmbrosio,Hawthorn,https://afltables.com/afl/stats/players/M/Massimo_DAmbrosio.html,21.752908966461327,41,"Mitchell, Sam",5-Jun-2003,Away,NA,NA,NA,0
2025,1,2025-03-07,1940,S.C.G.,40310,Will,Day,12794,12,Hawthorn,17,4,9,26,3,0,0,6,4,6,9,1,6,0,3,13,12,0,0,2,0,1,73,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Will Day,Hawthorn,https://afltables.com/afl/stats/players/W/Will_Day.html,23.752908966461327,71,"Mitchell, Sam",5-Jun-2001,Away,FPR,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Sam,Frost,12119,8,Hawthorn,2,0,1,3,0,0,0,0,1,0,0,1,1,1,0,3,0,0,0,4,0,0,44,On,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Sam Frost,Hawthorn,https://afltables.com/afl/stats/players/S/Sam_Frost.html,31.522929500342233,184,"Mitchell, Sam",28-Aug-1993,Away,SUB,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Jack,Ginnivan,12927,33,Hawthorn,9,1,7,16,0,1,0,3,0,3,2,4,1,1,0,6,10,0,0,2,0,1,75,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Jack Ginnivan,Hawthorn,https://afltables.com/afl/stats/players/J/Jack_Ginnivan.html,22.240930869267626,66,"Mitchell, Sam",9-Dec-2002,Away,FPL,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Blake,Hardwick,12469,15,Hawthorn,6,3,3,9,0,0,0,4,1,1,0,1,2,1,0,6,6,0,0,2,0,0,91,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Blake Hardwick,Hawthorn,https://afltables.com/afl/stats/players/B/Blake_Hardwick.html,28.082135523613964,173,"Mitchell, Sam",5-Feb-1997,Away,FB,27,RAIN,1
2025,1,2025-03-07,1940,S.C.G.,40310,Jarman,Impey,12237,4,Hawthorn,10,7,2,12,0,0,0,0,3,0,0,4,0,1,0,0,11,0,0,5,0,0,83,,Brendan Hosking, Simon Meredith, Jacob Mollison, Martin Rodger,Sydney,4,3,6,4,11,5,11,10,NA,NA,76,Hawthorn,5,3,9,6,11,10,14,12,NA,NA,96,27,40,71,76,NA,33,60,76,96,NA,Jarman Impey,Hawthorn,https://afltables.com/afl/stats/players/J/Jarman_Impey.html,29.659822039698838,198,"Mitchell, Sam",9-Jul-1995,Away,CHB,27,RAIN,1
