Season,Round,Date,First.name,Surname,Player,Team,Position,Opponent,Venue,match_weather_temp_c,Is_Raining,Time.on.Ground,Substitute,Fantasy.Points,Kicks,Handballs,Marks,Tackles,Hit.Outs,Frees.For,Frees.Against,Goals,Behinds,Contested.Possessions,Uncontested.Possessions
2025,1,2025-03-09,Aaron,Cadman,Aaron Cadman,GWS,FWD,Greater Western Sydney,Sydney Showground,27,1,93,,20,3,2,1,2,0,3,3,0,2,4,2
2025,2,2025-03-16,Aaron,Cadman,Aaron Cadman,GWS,FWD,Melbourne,M.C.G.,26,1,83,,45,5,4,4,1,0,0,2,2,0,4,3
2025,4,2025-03-29,Aaron,Cadman,Aaron Cadman,GWS,FWD,Hawthorn,York Park,26,0,76,,45,4,3,1,4,0,1,0,1,1,3,3
2025,5,2025-04-06,Aaron,Cadman,Aaron Cadman,GWS,FWD,Greater Western Sydney,Sydney Showground,27,0,66,,47,6,2,5,0,0,1,0,1,3,4,6
2025,6,2025-04-13,Aaron,Cadman,Aaron Cadman,GWS,FWD,St Kilda,Norwood Oval,34,0,59,,65,8,1,7,2,0,0,1,2,1,3,7
2025,7,2025-04-19,Aaron,Cadman,Aaron Cadman,GWS,FWD,Adelaide,Adelaide Oval,29,1,76,,39,5,5,2,1,0,1,0,0,3,6,4
2025,8,2025-04-26,Aaron,Cadman,Aaron Cadman,GWS,FWD,Greater Western Sydney,Manuka Oval,23,1,74,,55,8,3,4,1,0,3,0,1,0,4,7
2025,9,2025-05-04,Aaron,Cadman,Aaron Cadman,GWS,FWD,Sydney,S.C.G.,23,0,82,,67,8,4,6,1,0,1,0,2,0,5,7
2025,10,2025-05-11,Aaron,Cadman,Aaron Cadman,GWS,FWD,Geelong,Kardinia Park,23,0,68,,54,7,2,3,3,0,0,0,1,2,4,5
2025,11,2025-05-17,Aaron,Cadman,Aaron Cadman,GWS,FWD,Greater Western Sydney,Sydney Showground,22,1,74,,31,5,0,3,0,0,1,0,1,0,3,2
2025,12,2025-05-24,Aaron,Cadman,Aaron Cadman,GWS,FWD,Carlton,Docklands,19,1,62,,43,6,2,2,1,0,2,1,2,0,3,4
2025,13,2025-05-31,Aaron,Cadman,Aaron Cadman,GWS,FWD,Greater Western Sydney,Sydney Showground,20,0,71,,75,8,2,7,4,0,0,1,2,1,3,7
2025,14,2025-06-07,Aaron,Cadman,Aaron Cadman,GWS,FWD,Greater Western Sydney,Manuka Oval,11,1,83,,61,6,4,5,4,0,0,1,1,1,5,5
2025,15,2025-06-14,Aaron,Cadman,Aaron Cadman,GWS,FWD,Brisbane Lions,Gabba,21,0,84,,122,15,4,13,1,0,1,2,5,1,9,10
2025,16,2025-06-22,Aaron,Cadman,Aaron Cadman,GWS,FWD,Greater Western Sydney,Sydney Showground,19,0,77,,56,6,1,3,2,0,0,0,3,1,2,5
2025,18,2025-07-04,Aaron,Cadman,Aaron Cadman,GWS,FWD,West Coast,Perth Stadium,19,0,87,,68,10,1,7,1,0,1,1,2,1,3,8
