Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,9,Jack Steele,1,St Kilda,20,20,16,16,36,36,5,5,0,0,14,14,4,2,0,0,1,1,162,162
2,8,Andrew Brayshaw,1,Fremantle,17,17,22,22,39,39,5,5,0,0,12,12,1,1,0,0,0,0,156,156
3,17,Jarryd Lyons,1,Brisbane Lions,23,23,15,15,38,38,9,9,0,0,5,5,0,0,1,1,1,7,153,153
4,14,Callum Mills,1,Sydney,21,21,12,12,33,33,12,12,0,0,6,6,2,1,1,1,0,6,152,152
5,20,Chad Wingard,1,Hawthorn,20,20,12,12,32,32,7,7,0,0,7,7,0,0,2,2,2,14,147,147
6,10,Jaeger O'Meara,1,Hawthorn,20,20,15,15,35,35,5,5,0,0,10,10,1,2,1,1,0,6,146,146
7,7,Zach Merrett,1,Essendon,20,20,15,15,35,35,7,7,0,0,5,5,2,1,2,2,0,12,142,142
8,19,Rowan Marshall,1,St Kilda,14,14,8,8,22,22,4,4,46,46,5,5,2,2,1,1,1,7,139,139
9,5,Adam Cerra,1,Fremantle,21,21,12,12,33,33,8,8,0,0,6,6,2,0,0,0,1,1,138,138
10,5,Christian Petracca,1,Melbourne,19,19,13,13,32,32,10,10,0,0,5,5,0,1,1,1,0,6,136,136
11,11,Touk Miller,1,Gold Coast,19,19,15,15,34,34,2,2,0,0,10,10,4,1,0,0,1,1,135,135
12,15,Dayne Zorko,1,Brisbane Lions,22,22,7,7,29,29,9,9,0,0,5,5,0,1,1,1,2,8,132,132
13,43,Reilly O'Brien,1,Adelaide,7,7,12,12,19,19,6,6,44,44,6,6,1,1,0,0,0,0,129,129
14,4,Brodie Grundy,1,Collingwood,11,11,11,11,22,22,10,10,18,18,6,6,2,2,1,1,0,6,129,129
15,39,Zach Guthrie,1,Geelong,24,24,4,4,28,28,13,13,0,0,2,2,1,0,0,0,0,0,128,128
16,3,Tom Mitchell,1,Hawthorn,18,18,16,16,34,34,6,6,0,0,5,5,1,1,1,1,0,6,128,128
17,1,Jack Silvagni,1,Carlton,13,13,12,12,25,25,5,5,5,5,9,9,1,0,1,1,0,6,126,126
18,2,Jordan de Goey,1,Collingwood,23,23,11,11,34,34,7,7,0,0,3,3,1,0,0,0,0,0,125,125
19,25,Jack Crisp,1,Collingwood,18,18,18,18,36,36,9,9,0,0,2,2,0,0,0,0,0,0,125,125
20,3,Zak Jones,1,St Kilda,13,13,17,17,30,30,5,5,0,0,8,8,1,1,1,1,0,6,124,124
