Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,4,Brodie Grundy,1,Sydney,11,11,12,12,23,23,6,6,43,43,4,4,5,3,1,1,1,7,137,137
2,35,Nick Daicos,1,Collingwood,21,21,13,13,34,34,10,10,0,0,3,3,3,2,1,1,3,9,137,137
3,18,Jake Melksham,1,Melbourne,16,16,2,2,18,18,8,8,0,0,3,3,4,0,5,5,6,36,128,128
4,21,Errol Gulden,1,Sydney,21,21,9,9,30,30,6,6,0,0,7,7,3,2,0,0,0,0,124,124
5,6,Jordan Clark,1,Fremantle,19,19,12,12,31,31,10,10,0,0,2,2,3,2,1,1,0,6,122,122
6,33,Aaron Naughton,1,Western Bulldogs,14,14,4,4,18,18,12,12,0,0,4,4,2,1,3,3,2,20,121,121
7,14,Miles Bergman,1,Port Adelaide,16,16,9,9,25,25,8,8,0,0,5,5,1,1,2,2,0,12,120,120
8,3,Dion Prestia,1,Richmond,17,17,12,12,29,29,5,5,0,0,7,7,1,0,0,0,1,1,120,120
9,1,Connor Rozee,1,Port Adelaide,25,25,5,5,30,30,11,11,0,0,1,1,1,1,0,0,0,0,120,120
10,19,Rowan Marshall,1,St Kilda,17,17,5,5,22,22,4,4,26,26,6,6,1,4,1,1,1,7,119,119
11,6,Daniel Curtin,1,Adelaide,15,15,11,11,26,26,8,8,0,0,5,5,1,2,2,2,0,12,118,118
12,10,Scott Pendlebury,1,Collingwood,17,17,11,11,28,28,4,4,0,0,6,6,3,0,1,1,0,6,118,118
13,5,Isaac Heeney,1,Sydney,13,13,8,8,21,21,3,3,0,0,5,5,3,0,5,5,0,30,117,117
14,3,Liam Baker,1,West Coast,15,15,20,20,35,35,4,4,0,0,6,6,2,2,0,0,0,0,117,117
15,44,Jake Lloyd,1,Sydney,19,19,3,3,22,22,14,14,0,0,1,1,1,1,1,1,3,9,116,116
16,27,Joel Freijah,1,Western Bulldogs,12,12,11,11,23,23,7,7,0,0,3,3,1,0,4,4,0,24,116,116
17,20,Mitchell Hinge,1,Adelaide,18,18,5,5,23,23,12,12,0,0,3,3,1,0,0,0,0,0,113,113
18,30,Wayne Milera,1,Adelaide,20,20,7,7,27,27,11,11,0,0,1,1,0,0,0,0,0,0,111,111
19,7,Nasiah Wanganeen-Milera,1,St Kilda,25,25,3,3,28,28,7,7,0,0,1,1,0,1,1,1,0,6,109,109
20,9,Luke Jackson,1,Fremantle,6,6,9,9,15,15,4,4,16,16,8,8,1,1,2,2,1,13,107,107
21,7,Riley Thilthorpe,1,Adelaide,12,12,4,4,16,16,6,6,6,6,1,1,3,0,5,5,2,32,107,107
22,18,Matthew Rowell,1,Gold Coast,12,12,12,12,24,24,2,2,0,0,11,11,3,2,0,0,0,0,107,107
23,25,Jack Crisp,1,Collingwood,17,17,10,10,27,27,7,7,0,0,6,6,0,3,0,0,0,0,107,107
24,2,John Noble,1,Gold Coast,18,18,11,11,29,29,6,6,0,0,4,4,0,1,0,0,0,0,107,107
25,41,Sam Banks,1,Richmond,21,21,4,4,25,25,4,4,0,0,4,4,0,0,1,1,0,6,105,105
26,29,Rory Laird,1,Adelaide,15,15,11,11,26,26,8,8,0,0,3,3,2,0,0,0,0,0,105,105
27,12,Jordan Dawson,1,Adelaide,15,15,11,11,26,26,5,5,0,0,6,6,2,1,0,0,0,0,105,105
28,5,Christian Petracca,1,Melbourne,15,15,17,17,32,32,3,3,0,0,5,5,1,2,0,0,2,2,105,105
29,29,Lachlan Bramble,1,Western Bulldogs,18,18,10,10,28,28,4,4,0,0,3,3,0,0,1,1,0,6,104,104
30,24,Josh Worrell,1,Adelaide,18,18,6,6,24,24,11,11,0,0,1,1,0,0,0,0,0,0,103,103
31,3,Jai Newcombe,1,Hawthorn,15,15,12,12,27,27,6,6,0,0,4,4,2,1,0,0,1,1,103,103
32,10,Karl Amon,1,Hawthorn,19,19,14,14,33,33,4,4,0,0,2,2,1,1,0,0,0,0,103,103
33,10,Colby McKercher,1,North Melbourne,19,19,15,15,34,34,4,4,0,0,1,1,0,0,0,0,0,0,103,103
34,14,Darcy Cameron,1,Collingwood,11,11,8,8,19,19,3,3,36,36,2,2,2,1,0,0,1,1,102,102
35,25,Matt Flynn,1,West Coast,7,7,8,8,15,15,5,5,28,28,5,5,0,2,1,1,1,7,101,101
36,36,Kysaiah Pickett,1,Melbourne,14,14,11,11,25,25,1,1,0,0,5,5,2,2,3,3,0,18,101,101
37,19,Jack Gunston,1,Hawthorn,11,11,4,4,15,15,4,4,0,0,1,1,0,0,7,7,1,43,100,100
38,22,Steele Sidebottom,1,Collingwood,10,10,10,10,20,20,3,3,0,0,10,10,3,1,0,0,1,1,100,100
39,22,Nick Blakey,1,Sydney,20,20,4,4,24,24,6,6,0,0,3,3,1,0,0,0,1,1,100,100
40,17,Lloyd Meek,1,Hawthorn,6,6,5,5,11,11,3,3,37,37,6,6,4,1,0,0,0,0,99,99
41,20,Nick Larkey,1,North Melbourne,10,10,4,4,14,14,7,7,0,0,1,1,3,0,5,5,3,33,99,99
42,4,Sean Darcy,1,Fremantle,10,10,7,7,17,17,4,4,41,41,0,0,2,2,1,1,0,6,99,99
